date,variable,value
19020321,TMIN,50
19020322,TMAX,133
19020322,TMIN,22
19020323,TMAX,161
19020323,TMIN,33
19020324,TMAX,189
19020324,TMIN,61
19020325,TMAX,217
19020325,TMIN,83
19020326,TMAX,156
19020326,TMIN,117
19020327,TMAX,200
19020327,TMIN,78
19020328,TMAX,156
19020328,TMIN,117
19020329,TMAX,150
19020329,TMIN,61
19020330,TMAX,72
19020330,TMIN,6
19020331,TMAX,50
19020331,TMIN,17
19020401,TMAX,22
19020401,TMIN,0
19020402,TMAX,83
19020402,TMIN,6
19020403,TMAX,61
19020403,TMIN,-6
19020404,TMAX,128
19020404,TMIN,0
19020405,TMAX,133
19020405,TMIN,22
19020406,TMAX,183
19020406,TMIN,67
19020407,TMAX,67
19020407,TMIN,0
19020408,TMAX,61
19020408,TMIN,-33
19020409,TMAX,167
19020409,TMIN,11
19020410,TMAX,200
19020410,TMIN,56
19020411,TMAX,139
19020411,TMIN,67
19020412,TMAX,139
19020412,TMIN,44
19020413,TMAX,133
19020413,TMIN,22
19020414,TMAX,128
19020414,TMIN,39
19020415,TMAX,117
19020415,TMIN,0
19020416,TMAX,156
19020416,TMIN,33
19020417,TMAX,189
19020417,TMIN,67
19020418,TMAX,189
19020418,TMIN,83
19020419,TMAX,150
19020419,TMIN,83
19020420,TMAX,161
19020420,TMIN,39
19020421,TMAX,306
19020421,TMIN,72
19020422,TMAX,244
19020422,TMIN,139
19020423,TMAX,150
19020423,TMIN,39
19020424,TMAX,189
19020424,TMIN,61
19020425,TMAX,289
19020425,TMIN,94
19020426,TMAX,156
19020426,TMIN,89
19020427,TMAX,200
19020427,TMIN,56
19020428,TMAX,167
19020428,TMIN,89
19020429,TMAX,250
19020429,TMIN,122
19020430,TMAX,222
19020430,TMIN,111
19020501,TMAX,250
19020501,TMIN,117
19020502,TMAX,289
19020502,TMIN,172
19020503,TMAX,300
19020503,TMIN,178
19020504,TMAX,289
19020504,TMIN,183
19020505,TMAX,222
19020505,TMIN,144
19020506,TMAX,261
19020506,TMIN,167
19020507,TMAX,211
19020507,TMIN,94
19020508,TMAX,250
19020508,TMIN,122
19020509,TMAX,178
